1.00	 	0.6992198582        0.5764480874        0.4828205128        0.4132231405
1.25	 	0.5517977528        0.3831417625        0.3086419753        0.2652519894
1.50	 	0.3455704698        0.2469135802        0.2045018450        0.1597533207
1.75	 	0.2188183807        0.1194743130        0.1047120419        0.0864144354
2.00	 	0.1149425287        0.0681663258        0.0663129973        0.0598802395
2.25	 	0.0698324022        0.0362056481        0.0354987575        0.0319991600
2.50	 	0.0334254215        0.0195656427        0.0165837479        0.0140703751
2.75	 	0.0186618168        0.0107068530        0.0093475416        0.0088739019
3.00	 	0.0086140064        0.0067123343        0.0063071586        0.0053123672






